,ALIAS,HAS_CATEGORY_Afghan,HAS_CATEGORY_African,HAS_CATEGORY_AmericanNew,HAS_CATEGORY_AmericanTraditional,HAS_CATEGORY_Arabian,HAS_CATEGORY_Argentine,HAS_CATEGORY_Armenian,HAS_CATEGORY_AsianFusion,HAS_CATEGORY_Australian,HAS_CATEGORY_Austrian,HAS_CATEGORY_Bangladeshi,HAS_CATEGORY_Barbeque,HAS_CATEGORY_Basque,HAS_CATEGORY_Belgian,HAS_CATEGORY_Brasseries,HAS_CATEGORY_Brazilian,HAS_CATEGORY_BreakfastBrunch,HAS_CATEGORY_British,HAS_CATEGORY_Buffets,HAS_CATEGORY_Burgers,HAS_CATEGORY_Burmese,HAS_CATEGORY_Cafes,HAS_CATEGORY_Cafeteria,HAS_CATEGORY_CajunCreole,HAS_CATEGORY_Calabrian,HAS_CATEGORY_Cambodian,HAS_CATEGORY_Cantonese,HAS_CATEGORY_Caribbean,HAS_CATEGORY_Catalan,HAS_CATEGORY_Cheesesteaks,HAS_CATEGORY_ChickenShop,HAS_CATEGORY_ChickenWings,HAS_CATEGORY_Chinese,HAS_CATEGORY_Colombian,HAS_CATEGORY_ComfortFood,HAS_CATEGORY_ConveyorBeltSushi,HAS_CATEGORY_Creperies,HAS_CATEGORY_Cuban,HAS_CATEGORY_Czech,HAS_CATEGORY_Delis,HAS_CATEGORY_DimSum,HAS_CATEGORY_Diners,HAS_CATEGORY_DinnerTheater,HAS_CATEGORY_Dominican,HAS_CATEGORY_Egyptian,HAS_CATEGORY_Ethiopian,HAS_CATEGORY_Falafel,HAS_CATEGORY_FastFood,HAS_CATEGORY_Filipino,HAS_CATEGORY_FishChips,HAS_CATEGORY_Fondue,HAS_CATEGORY_FoodCourt,HAS_CATEGORY_FoodStands,HAS_CATEGORY_French,HAS_CATEGORY_GameMeat,HAS_CATEGORY_Gastropubs,HAS_CATEGORY_German,HAS_CATEGORY_GlutenFree,HAS_CATEGORY_Greek,HAS_CATEGORY_Guamanian,HAS_CATEGORY_Hainan,HAS_CATEGORY_Haitian,HAS_CATEGORY_Halal,HAS_CATEGORY_Hawaiian,HAS_CATEGORY_HimalayanNepalese,HAS_CATEGORY_Honduran,HAS_CATEGORY_HongKongStyleCafe,HAS_CATEGORY_HotDogs,HAS_CATEGORY_HotPot,HAS_CATEGORY_Hungarian,HAS_CATEGORY_Iberian,HAS_CATEGORY_Indian,HAS_CATEGORY_Indonesian,HAS_CATEGORY_Irish,HAS_CATEGORY_Italian,HAS_CATEGORY_Izakaya,HAS_CATEGORY_Japanese,HAS_CATEGORY_JapaneseCurry,HAS_CATEGORY_Kebab,HAS_CATEGORY_Korean,HAS_CATEGORY_Kosher,HAS_CATEGORY_Laotian,HAS_CATEGORY_LatinAmerican,HAS_CATEGORY_Lebanese,HAS_CATEGORY_LiveRawFood,HAS_CATEGORY_Malaysian,HAS_CATEGORY_Mauritius,HAS_CATEGORY_Mediterranean,HAS_CATEGORY_Mexican,HAS_CATEGORY_MiddleEastern,HAS_CATEGORY_ModernEuropean,HAS_CATEGORY_Mongolian,HAS_CATEGORY_Moroccan,HAS_CATEGORY_NewMexicanCuisine,HAS_CATEGORY_Nicaraguan,HAS_CATEGORY_Noodles,HAS_CATEGORY_Pakistani,HAS_CATEGORY_PanAsia,HAS_CATEGORY_PersianIranian,HAS_CATEGORY_Peruvian,HAS_CATEGORY_Pizza,HAS_CATEGORY_Polish,HAS_CATEGORY_Polynesian,HAS_CATEGORY_PopUpRestaurants,HAS_CATEGORY_Portuguese,HAS_CATEGORY_Poutineries,HAS_CATEGORY_PuertoRican,HAS_CATEGORY_Ramen,HAS_CATEGORY_Reunion,HAS_CATEGORY_Russian,HAS_CATEGORY_Salad,HAS_CATEGORY_Salvadoran,HAS_CATEGORY_Sandwiches,HAS_CATEGORY_Sardinian,HAS_CATEGORY_Scandinavian,HAS_CATEGORY_Scottish,HAS_CATEGORY_Seafood,HAS_CATEGORY_Senegalese,HAS_CATEGORY_Shanghainese,HAS_CATEGORY_Sicilian,HAS_CATEGORY_Singaporean,HAS_CATEGORY_Slovakian,HAS_CATEGORY_SoulFood,HAS_CATEGORY_Soup,HAS_CATEGORY_SouthAfrican,HAS_CATEGORY_Southern,HAS_CATEGORY_Spanish,HAS_CATEGORY_SriLankan,HAS_CATEGORY_Steakhouses,HAS_CATEGORY_SupperClubs,HAS_CATEGORY_SushiBars,HAS_CATEGORY_Syrian,HAS_CATEGORY_Szechuan,HAS_CATEGORY_Tacos,HAS_CATEGORY_Taiwanese,HAS_CATEGORY_TapasBars,HAS_CATEGORY_TapasSmallPlates,HAS_CATEGORY_Teppanyaki,HAS_CATEGORY_TexMex,HAS_CATEGORY_Thai,HAS_CATEGORY_ThemedCafes,HAS_CATEGORY_Trinidadian,HAS_CATEGORY_Turkish,HAS_CATEGORY_Tuscan,HAS_CATEGORY_Ukrainian,HAS_CATEGORY_Uzbek,HAS_CATEGORY_Vegan,HAS_CATEGORY_Vegetarian,HAS_CATEGORY_Venezuelan,HAS_CATEGORY_Vietnamese,HAS_CATEGORY_Waffles,HAS_CATEGORY_Wraps,HAS_DELIVERY,HAS_ONLINE_RESERVATION,HAS_PICKUP,HSISID,JSON_URL,NUMBER_OF_REVIEWS,PRICE,RATING,YELP_ID,YELP_NAME
0,miltons-pizza-and-pasta-raleigh-raleigh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4092010495,https://api.yelp.com/v3/businesses/search/phone?phone=+19198470604,144,2,4.0,TeiiUX2hwWucfpgAmRkrHA,Milton's Pizza and Pasta - Raleigh
1,zest-café-and-home-art-raleigh-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4092011781,https://api.yelp.com/v3/businesses/search/phone?phone=+19198484792,78,2,4.0,UPWu6L70nCkE34TXj2Xy0A,Zest Café and Home Art
2,los-tres-vaqueros-raleigh-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4092012900,https://api.yelp.com/v3/businesses/search/phone?phone=+19198466666,37,1,3.5,aAPlOI4aJC1m-c_7rMYaIg,Los Tres Vaqueros
3,tookies-grill-raleigh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4092013597,https://api.yelp.com/v3/businesses/search/phone?phone=+19198466383,13,1,4.0,h5_tXwMi7nSDe5owrjGzvQ,Tookie's Grill
4,the-pipers-tavern-raleigh,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4092013482,https://api.yelp.com/v3/businesses/search/phone?phone=+19196767413,134,2,3.5,OI23yy8k7pEbUEaLb9j0QQ,The Piper's Tavern
5,kangaroo-express-869-raleigh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4092021950,https://api.yelp.com/v3/businesses/search/phone?phone=+19198720614,2,1,2.5,ci0S19nDqtBrfh76eLqKPA,Kangaroo Express 869
6,food-lion-raleigh-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4092020964,https://api.yelp.com/v3/businesses/search/phone?phone=+19195181607,4,2,4.5,enrouX6qC0bAJKcPlX87tg,Food Lion
7,food-lion-raleigh-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4092300148,https://api.yelp.com/v3/businesses/search/phone?phone=+19195181607,4,2,4.5,enrouX6qC0bAJKcPlX87tg,Food Lion
8,imperial-garden-chinese-restaurant-raleigh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4092015871,https://api.yelp.com/v3/businesses/search/phone?phone=+19198461988,124,2,4.0,JhGat0GTvf6rG7KUHrIQqw,Imperial Garden Chinese Restaurant
9,sawmill-tap-room-raleigh,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4092013106,https://api.yelp.com/v3/businesses/search/phone?phone=+19198457889,98,2,3.0,pWkucXeN5M96XVqAEyxwjA,Sawmill Tap Room
